"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost",  ,
"Dunkin Donuts Coffee, Mocha",CASE (12  1 Each),1,1,24.72,24.72,,
"Dunkin Donuts Coffee, Orig",CASE (12  1 Each),2,2,24.72,49.44,,
,,,,,,,
14Z Yup Chocolate,CASE (12  14.16 Ounces),2,2,17.51,35.02,,
14Z Yup Strawberry,CASE (12  14.16 Ounces),1,1,17.51,17.51,,
,,,,,,,
"Energy, 16oz Monster, Ultra White",CASE (24  1 Each),1,1,39.98,39.98,,
"Energy, 16oz. Monster, Original (green)",CASE (24  1 Each),1,1,39.98,39.98,,
,,,,,,,
"Powerade Lemon Lime, 20oz",CASE (24  1 Each),1,1,23.03,23.03,,
Powerade Mountain Blast 20oz,CASE (24  1 Each),1,1,23.03,23.03,,
"Powerade Zero, Mixed Berry 20oz",CASE (24  1 Each),,1,,0.00,,
"Powerade, 28oz Fruit Punch",CASE (15  1 Each),1,1,22.13,22.13,,
"Powerade, 28oz Mountain Berry Blast",CASE (15  1 Each),2,2,22.13,44.26,,
"Vitamin Water, 20z energy",CASE (12  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z essential",CASE (12  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z focus",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z Power C",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z XXX",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z Zero Rise",CASE (12  1 Each),1,1,12.99,12.99,,
"Vitamin Water, 20z Zero Sqez",CASE (12  1 Each),2,2,12.99,25.98,,
"Vitamin Water, 20z Zero XXX",CASE (12  1 Each),1,1,12.99,12.99,,
,,,,,,,
"1.25 Liter, Coke",CASE (12  1 Liter),1,1,16.48,16.48,,
"1.25 Liter, Diet Coke",CASE (12  1 Liter),1,1,16.48,16.48,,
"1.25 Liter, Sprite",CASE (12  1 Liter),1,1,16.48,16.48,,
"20 ounce, Coke Classic",CASE (24  1 Each),2,2,20.33,40.66,,
"20 Ounce, Coke Zero",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Diet Coke",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Lemonade",CASE (24  1 Each),2,2,20.33,40.66,,
"20 Ounce, Seagrams Gingerale",CASE (24  1 Each),1,1,20.33,20.33,,
"20 ounce, Sprite",CASE (24  1 Each),1,1,20.33,20.33,,
"Frdg Pk, Coke Classic",CASE (2  1 Each),2,2,9.57,19.14,,
"Frdg Pk, Diet Coke",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Pibb Extra",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Seagrams Gingerale",CASE (2  1 Each),1,1,9.57,9.57,,
"Frdg Pk, Sprite",CASE (2  1 Each),1,1,9.57,9.57,,
"Gold Peak, Sweetened Tea",CASE (12  1 Each),2,2,15.71,31.42,,
"Gold Peak, Unsweetened tea",CASE (12  1 Each),1,1,15.71,15.71,,
"Honest Tea, Half and Half",CASE (12  1 Each),1,1,15.52,15.52,,
"Honest Tea, Honey Green",CASE (12  1 Each),1,1,15.52,15.52,,
"Honest Tea, Peach White Tea",CASE (12  1 Each),1,1,15.52,15.52,,
"Huberts, Original",CASE (12  1 Each),2,2,20.60,41.20,,
